2026-05-07 17:09:02,966 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=fc08521d (5/16) dim=768
2026-05-07 17:09:03,084 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=fc08521d attempt=1/3 dt=0.07s
2026-05-07 17:09:03,084 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=fc08521d (6/16) dim=768
2026-05-07 17:09:03,194 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=fc08521d attempt=1/3 dt=0.06s
2026-05-07 17:09:03,194 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=fc08521d (7/16) dim=768
2026-05-07 17:09:03,318 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=fc08521d attempt=1/3 dt=0.07s
2026-05-07 17:09:03,319 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=fc08521d (8/16) dim=768
2026-05-07 17:09:03,448 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=fc08521d attempt=1/3 dt=0.08s
2026-05-07 17:09:03,449 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=fc08521d (9/16) dim=768
2026-05-07 17:09:03,582 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=fc08521d attempt=1/3 dt=0.08s
2026-05-07 17:09:03,583 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=fc08521d (10/16) dim=768
2026-05-07 17:09:03,703 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=fc08521d attempt=1/3 dt=0.07s
2026-05-07 17:09:03,703 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=fc08521d (11/16) dim=768
2026-05-07 17:09:03,824 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=fc08521d attempt=1/3 dt=0.07s
2026-05-07 17:09:03,824 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=fc08521d (12/16) dim=768
2026-05-07 17:09:03,948 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=fc08521d attempt=1/3 dt=0.07s
2026-05-07 17:09:03,948 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=fc08521d (13/16) dim=768
2026-05-07 17:09:04,057 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=fc08521d attempt=1/3 dt=0.06s
2026-05-07 17:09:04,057 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=fc08521d (14/16) dim=768
2026-05-07 17:09:04,185 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=fc08521d attempt=1/3 dt=0.08s
2026-05-07 17:09:04,185 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=fc08521d (15/16) dim=768
2026-05-07 17:09:04,333 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=fc08521d attempt=1/3 dt=0.10s
2026-05-07 17:09:04,333 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=fc08521d (16/16) dim=768
2026-05-07 17:09:04,385 | INFO | backend.integrations.ollama_client | [EMB-END] rid=fc08521d model=nomic-embed-text n=16 elapsed=1.97s
2026-05-07 17:09:04,386 | INFO | rag.vectorstores.faiss_store | [DataFaissStore] appended meta.jsonl lines=16 -> C:\Projects\Dtro_Safety_On_addASK\data\data_index\meta.jsonl
2026-05-07 17:09:04,386 | INFO | rag.vectorstores.faiss_store | [FaissStore] add ok vectors=16 ntotal 6939 -> 6955
2026-05-07 17:09:04,386 | INFO | dataops.pipelines.build_data_index | [BuildDataIndex] file=trend batch=275/454 added=16 ntotal=6955
2026-05-07 17:09:04,386 | INFO | backend.integrations.ollama_client | [EMB-START] rid=a242bded model=nomic-embed-text n=16
2026-05-07 17:09:04,441 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=a242bded attempt=1/3 dt=0.05s
2026-05-07 17:09:04,441 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=a242bded (1/16) dim=768
2026-05-07 17:09:04,563 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=a242bded attempt=1/3 dt=0.07s
2026-05-07 17:09:04,563 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=a242bded (2/16) dim=768
2026-05-07 17:09:04,679 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=a242bded attempt=1/3 dt=0.06s
2026-05-07 17:09:04,679 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=a242bded (3/16) dim=768
2026-05-07 17:09:04,794 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=a242bded attempt=1/3 dt=0.06s
2026-05-07 17:09:04,794 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=a242bded (4/16) dim=768
2026-05-07 17:09:04,910 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=a242bded attempt=1/3 dt=0.06s
2026-05-07 17:09:04,910 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=a242bded (5/16) dim=768
2026-05-07 17:09:05,031 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=a242bded attempt=1/3 dt=0.07s
2026-05-07 17:09:05,031 | INFO | backend.integrations.ollama_client | [EMB-OK] rid=a242bded (6/16) dim=768
2026-05-07 17:09:05,145 | INFO | backend.integrations.ollama_client | [OllamaClient] POST ok path=/api/embeddings rid=a242bded attempt=1/3 dt=0.06s
